AT,GQ,HB,HD,HF,HG,HI,HM,HO,HQ,HV,HX,HY,IA,ID,IF,IH,IN,IR,LC,LE,LG,LH,LI,NI,OT,SF,TL,UW,WT,YU,AAN,ACE,GC
1490.776623,0,3089,2957,29,30,86,872,2477,2380,65.35173,1096.272818,1050.806271,609,841,3444,166,107,2145,1670,829,770,9.516747,56,346,214,176,218,65,45,0,1498.822854,2417.63767,-6.521351
2236.382444,121,2677,2511,233,199,183,961,2902,2052,100,1039.7851,970.420756,481,1096,2659,208,71,1373,3854,3579,4193,58.594187,885,902,560,452,1067,285,262,0,2647.918577,1864.948845,0.842107
1576.663286,0,4482,4155,15,248,396,1793,4477,3186,100,1008.493798,945.668381,554,2072,3502,458,176,2176,7076,6607,7648,69.991764,1690,1468,1392,730,1276,766,676,0,4149.603657,2974.217496,14.57772
2026.544942,75,5558,5263,1651,231,1051,2387,7416,2991,100,1026.548666,971.765552,368,4207,2803,949,290,1921,10270,9560,10006,68.328326,1496,3056,1586,1014,2727,964,763,0,4421.724395,3560.014642,8.441134
147.253717,0,131,125,0,0,0,24,86,97,19.366872,1069.30169,1069.30169,20,54,126,8,0,97,55,16,6,1.73913,0,16,16,8,0,0,0,0,70.129111,98.58723,0
3621.605989,0,2476,2467,82,203,287,384,1246,1451,100,1120.680444,1080.534724,219,2611,946,142,51,1222,1282,705,843,15.186453,151,316,250,142,240,124,52,0,1260.574105,1638.838172,7.396247
1419.375435,31,2582,2588,146,248,372,994,2283,1682,95.702204,1039.233048,969.795195,268,1212,2139,180,165,1343,2352,1993,2741,44.897625,533,416,350,250,728,400,369,1,2036.344532,2062.031372,8.37508
3822.854591,75,9741,9546,227,383,1298,3071,7861,6311,100,1105.513543,1006.272487,1059,6047,6758,758,501,5111,8423,7192,10319,43.645054,2071,1760,1534,910,2771,1846,1845,1,7773.547093,7893.995415,6.002955
612.408767,0,1337,1302,0,33,16,396,987,1014,16.191361,1053.09601,1018.516644,329,299,1543,96,9,957,489,184,93,2.600671,0,110,108,32,19,9,9,0,783.6336,1042.402845,7.548609
5596.329332,30,2870,3138,50,1544,824,926,1627,1379,100,1144.956386,894.361665,147,2015,1197,247,71,857,2111,1558,1923,34.0897,593,400,374,184,506,163,157,0,1688.61795,1845.221583,19.046287
1066.98981,15,1070,1044,63,249,92,568,1358,820,100,843.528284,804.617096,251,117,1402,123,38,500,1311,1195,1734,57.265522,473,438,256,108,448,445,250,0,1230.630091,1090.610343,0.677203
1034.97087,0,11051,10328,5,384,367,3257,8792,8909,74.165384,1058.579956,990.017281,2452,3189,11159,1053,65,8187,10529,8924,12725,40.481644,1778,1802,1788,1260,1530,1156,1081,0,9644.630863,9915.723721,54.184498
223.281256,60,2903,2801,112,5,87,862,2035,2245,53.09077,1080.915311,1031.19269,448,776,2857,196,126,2196,2467,1635,1758,22.452107,222,720,448,174,162,113,104,0,2351.795554,2382.338393,91.132495
1480.158841,0,5116,4803,0,337,141,1471,3816,4022,63.367441,1071.705049,1000.394619,1078,1236,5442,466,50,3770,4517,3317,3657,26.248923,567,1098,724,568,308,217,199,0,4458.655708,4284.082814,59.495162
150.077257,0,173,162,0,0,0,52,157,148,10.960969,1045.51267,1045.51267,44,27,250,16,9,106,70,38,30,6.315789,0,18,14,10,6,5,0,0,145.337427,64.028961,23.391291
1529.990709,50,7103,6781,70,719,416,2584,5447,5005,66.564221,1094.217775,945.991981,1233,1120,8309,638,260,4179,4976,3241,3382,19.125714,575,1172,1084,464,224,197,166,0,5720.792467,5398.988827,24.930217
745.946787,0,3061,2868,54,131,89,1025,2237,2275,96.755582,987.618148,952.777487,611,487,3291,307,9,2308,2700,1913,2204,26.269368,319,850,466,286,219,153,142,0,2686.051032,2606.314943,18.253602
2505.889471,0,723,742,0,0,107,86,206,368,100,1118.828068,1117.194101,26,690,200,41,0,248,374,153,166,11.456177,32,122,64,38,56,25,16,0,279.751895,319.966552,0.964354
451.392929,0,1098,1079,0,32,33,392,790,778,43.348251,1029.061339,978.637403,185,145,1309,83,21,693,345,88,43,1.602684,0,80,66,16,13,10,5,0,663.883143,667.26281,2.601661
2365.578414,0,1686,1632,0,33,13,332,1350,1437,61.373886,1112.984874,1096.526557,548,828,1763,96,25,1305,807,402,391,7.721169,31,154,112,82,46,38,27,0,1266.072631,1338.385294,6.016579
1989.09916,85,2731,2611,251,61,74,651,2040,2135,65.56583,1136.562473,1071.155273,626,1179,2705,172,75,1868,1379,618,601,7.996275,72,158,154,116,85,68,57,0,1879.360558,1996.436379,2.587207
2281.270905,0,1734,1682,11,161,73,477,1291,1285,100,1103.617842,1045.266683,259,601,1746,116,43,1158,813,463,419,9.57058,56,130,100,74,48,26,19,0,1111.646445,1190.345948,10.020376
1730.06483,132,10020,9694,439,461,716,3287,6728,6379,99.999994,1142.758266,1017.819554,1265,3275,9152,544,888,5361,4925,2673,2516,11.068098,577,704,610,546,302,155,147,0,5781.347185,6149.574954,8.430729
2795.79403,0,2046,2029,0,417,213,1175,2742,1597,100,826.826756,770.192777,464,305,2492,286,91,1039,2819,2624,4251,73.003606,1179,856,470,188,1713,1039,223,0,2763.559164,2209.91238,10.658816
2411.300198,145,7967,7608,273,1071,528,3226,7825,5956,98.168078,1055.391855,939.631038,1430,2191,7687,708,331,4244,10834,9539,11467,55.430947,2154,2004,1020,936,973,964,893,0,8418.828857,6319.309669,0.388596
2453.130533,125,9310,8836,1037,1007,1459,4384,9547,6099,94.732333,988.638586,848.260286,1377,2617,8288,1093,539,4335,15398,14336,16232,70.647632,4049,3264,3128,1468,1599,1167,947,0,9618.12322,7524.797026,17.77441
2349.919481,0,874,851,77,0,60,166,649,609,100,1118.913557,1096.151266,205,791,484,48,70,529,662,528,539,23.734038,86,112,106,68,195,81,51,0,405.647781,283.126686,-0.750492
2204.035783,0,5942,5666,8,397,398,2220,5273,4379,67.052335,1027.471473,918.492098,889,1678,5502,669,125,3326,7366,6542,8369,55.923822,1635,1512,1146,860,1626,578,471,0,4617.565631,4009.646984,37.602118
2503.857014,55,2759,2664,70,80,134,1060,2855,2187,100,998.125588,935.813725,769,725,2852,320,8,1779,3855,3598,5052,63.268629,961,954,618,516,844,486,352,0,1979.944914,2753.010898,-4.504896
510.32505,0,1944,1838,0,0,38,406,1192,1612,56.666612,1071.550209,1026.107827,328,1031,1243,196,0,1543,2850,2560,3355,60.007154,523,964,554,230,714,255,249,1,1529.785013,1523.635078,198.148951
204.310224,0,304,282,0,10,0,88,242,232,27.121845,1057.43057,1033.940758,78,38,436,7,0,190,144,78,76,9.257004,16,34,16,16,17,17,7,0,259.872738,113.884828,12.444376
1163.287815,0,3668,3538,16,60,70,704,2806,3033,49.34278,1140.023008,1090.394275,1004,1679,3795,237,75,2879,1426,657,798,7.459338,51,242,198,102,209,70,67,0,1924.656564,1967.684015,0
653.892224,20,3898,3748,71,0,141,1101,2893,2949,100,1125.421153,1071.202484,768,1361,3810,175,229,2272,2329,1409,1575,15.795808,162,356,288,256,378,146,111,0,2503.048371,2536.739053,-0.384462
2212.143874,0,2621,3284,490,63,817,441,1105,1334,90.840532,1136.482414,1089.948374,96,2207,742,168,0,599,2679,2064,2023,42.163401,212,708,440,398,486,257,132,0,499.53377,965.716513,40.886909
2555.895022,69,10131,9692,310,105,422,3098,9010,7793,97.285641,1147.261445,1056.312881,2025,6264,7822,806,504,6050,11523,9953,12357,47.083254,2155,2518,2506,1204,3628,2192,1825,0,5552.881289,5472.785269,2.268545
2225.720378,75,7474,7110,33,47,413,2331,6344,5356,100,1103.461902,1047.334388,1099,4641,5281,515,580,3992,8380,7491,9407,52.774194,1645,1642,1310,1088,2057,1820,1808,0,4489.592527,3735.541849,3.366683
1044.960498,120,4266,4076,314,37,168,939,3361,3291,81.186873,1156.659799,1088.335299,883,2795,3416,260,234,2916,3383,2533,3082,26.844352,449,734,558,472,693,450,429,0,2382.961233,2274.744086,-3.452341
888.872166,0,3635,3512,0,41,44,611,2033,3086,41.522129,1134.992219,1097.804333,685,1293,3123,152,16,3522,1298,632,925,8.648901,75,184,118,76,220,105,91,0,2965.047889,3133.196562,226.377136
2144.032829,100,3132,2985,144,711,357,1539,3215,2169,80.237873,946.700057,840.407572,477,481,3148,332,150,1492,3974,3416,3824,49.278351,902,662,524,398,405,231,207,0,3223.951222,2106.739738,9.78962
835.898885,0,2186,2154,0,89,121,922,1642,1374,61.157906,1077.570476,986.361619,244,496,2249,105,192,1055,893,470,429,9.192201,61,184,166,88,127,122,16,0,1555.233755,2038.495641,3.896628
1893.377949,0,1458,1410,0,0,67,242,923,1056,100,1152.152424,1119.33596,300,1406,772,82,85,950,813,553,763,19.890511,50,252,122,76,282,135,72,0,927.999042,1151.726057,-0.256578
3651.08131,80,2243,2489,1129,11,464,263,748,1045,100,1147.503441,1117.307792,52,2358,561,117,69,604,1298,711,623,14.808652,49,314,164,144,86,84,66,0,495.77762,1063.121129,5.613018
2765.424671,117,2187,2152,157,72,143,623,1482,1453,97.778952,1085.415536,1045.732067,350,875,1844,140,138,1333,1050,481,522,9.956132,65,200,146,88,84,50,46,1,1654.448308,1258.827693,10.764164
