HD,HF,HO,HZ,IL,IN,IP,LC,LE,LG,AAN,GC
4955,0,4041,1939,501,16,1293,4371,3778,5497,3772.560922,1
92,833,58,38,0,0,22,103,46,37,34.077572,0
12835,16,11259,3224,1466,239,3250,11626,8988,10598,10289.40921,0
2686,73,2177,490,307,162,601,2663,2318,2818,1751.307048,1
695,0,553,144,65,66,173,735,645,744,444.525997,1
918,0,664,271,63,30,240,315,113,104,412.600245,1
1333,41,931,344,143,103,454,741,503,723,851.21122,1
4368,211,2875,915,413,297,1137,2801,2039,2438,2507.39838,1
742,131,753,106,136,62,185,690,594,732,829.364148,0
432,137,416,50,192,80,88,213,83,71,354.073079,1
589,0,426,140,34,15,198,287,108,78,217.225689,1
477,13,292,97,30,15,107,231,95,72,169.341232,0
1091,0,1019,186,152,0,292,1161,1037,1338,1100.737223,0
3405,95,3745,701,668,36,1075,4152,3857,5254,2599.23293,0
4848,151,4395,901,788,215,1376,3991,3526,4883,3403.310336,0
557,0,502,146,71,0,144,487,432,574,441.571794,0
25,0,25,11,0,0,12,33,23,41,13.8095,1
987,0,936,137,141,37,289,865,786,1002,644.43335,1
4442,60,2167,450,338,116,671,3125,2238,2523,2245.442644,1
8897,1249,5918,1760,1139,536,2384,6509,4750,5465,3318.934668,1
6308,97,6741,1522,888,197,1630,10032,9054,11184,5656.977947,1
940,0,806,362,78,0,263,432,192,203,936.494979,1
3937,246,2903,718,621,318,949,1829,835,631,3077.597777,0
2728,0,3203,645,514,29,791,4297,4045,5521,2964.655252,0
1276,15,1478,182,157,82,271,1687,1551,1730,912.3582,1
1551,0,842,201,113,58,271,1048,773,963,990.812627,1
2656,47,2089,562,265,75,623,2025,1396,1497,1481.420783,1
321,0,208,56,18,26,88,158,107,85,95.579068,0
6883,36,8333,1330,1567,309,1947,9389,8978,12841,8526.617949,1
352,0,308,127,41,0,124,168,66,74,311.476795,1
7669,81,5725,1965,624,200,1830,3594,1173,1048,5175.347759,1
71,10,25,0,5,0,0,16,5,0,34.863061,1
1504,0,1595,226,209,47,336,1867,1570,1724,1208.079154,1
5733,196,4303,1390,594,314,1384,2697,1215,1098,4072.018819,1
1409,193,913,274,188,68,355,577,338,400,768.858543,0
1922,174,1755,716,329,0,440,3209,2799,3016,1431.099036,1
1607,0,971,392,77,0,328,2206,1824,2009,1040.365803,1
259,0,267,96,16,0,90,255,148,163,240.275123,0
1883,32,1620,689,157,19,484,1364,869,1032,1627.704978,1
3683,360,2675,714,561,277,890,2349,1749,2201,2259.26995,1
2786,418,2637,445,434,146,590,3580,3244,4042,2198.043311,1
7569,238,5563,1711,664,428,1881,5552,4258,4907,2293.055221,1
3733,337,2078,786,295,285,949,2333,1553,1602,1131.651162,1
3839,6,2733,678,262,110,785,4204,3697,4947,2053.930018,1
1070,0,779,145,112,86,345,308,130,86,530.829289,1
1898,122,1471,588,193,127,497,1634,1163,1372,1207.851218,1
4298,51,6069,1464,1083,9,1389,6659,6301,10399,5587.987606,1
32,246,24,7,0,0,13,26,18,14,4.590141,0
4969,183,3151,790,546,370,1139,3111,1894,2081,4555.232905,1
204,0,155,75,20,0,65,107,42,34,126.100031,1
2236,0,1258,608,126,0,470,1342,958,1356,1728.896359,0
1755,0,768,284,111,78,409,997,505,608,835.885819,1
9913,140,9601,2477,1400,105,2769,9737,8736,12492,7851.110028,0
5828,101,4097,1158,540,348,1372,4094,3065,3327,2602.018129,1
1029,0,849,200,104,48,307,474,209,152,563.107113,0
1888,67,1414,402,194,123,504,1433,1103,1194,1063.036325,1
1853,97,1339,403,121,131,532,1380,978,1007,756.294132,1
3448,0,2213,661,281,161,932,1237,604,619,1813.658591,1
2314,212,1775,574,383,128,622,960,408,310,1512.249589,1
5523,217,3407,957,705,356,1374,3432,2653,3306,2615.545099,1
2106,82,1566,367,225,190,480,1705,1274,1473,1398.492931,1
7228,161,5801,1667,806,214,1933,3913,1933,1837,4988.830975,1
3090,157,1948,593,379,199,623,1876,1058,1284,1153.191824,1
9276,481,6437,1757,1119,795,2068,4873,1378,1114,5372.46472,1
474,6,353,93,48,18,138,270,101,68,161.61961,0
5996,484,4473,1684,600,354,1627,4158,1215,1073,3092.755846,1
3194,123,2497,945,292,55,928,1264,512,391,1809.098459,1
5957,264,4221,1749,522,353,1428,3437,859,629,3268.14133,1
11917,252,10147,2377,1291,932,3094,12372,10306,11773,5796.030582,1
6359,330,5787,1133,849,214,1666,7587,6683,8140,4584.258179,1
3579,87,2265,635,321,225,783,2832,2305,2636,1692.123902,1
1628,172,1580,580,345,0,513,1570,1157,1383,1958.325045,1
8341,40,7285,3537,888,33,2156,9679,7399,8304,5925.417644,1
8792,197,7570,2467,1074,201,2095,8611,6635,7632,5425.24016,1
4634,97,2800,866,482,230,1086,2724,1702,2265,2491.499688,1
1895,0,1350,385,223,192,508,1036,808,1101,1228.170958,1
2682,20,2669,558,407,77,677,3611,3187,3863,2459.184594,1
10538,710,10684,1732,1961,547,2279,16151,14710,16484,9362.150144,1
5291,835,3732,423,340,157,758,4815,3832,4298,3351.093298,1
888,0,645,304,36,14,274,431,165,151,383.083271,1
9440,205,5942,1529,1171,407,2116,6034,4163,5646,5580.632938,1
915,99,795,113,45,27,138,1090,953,944,615.367818,1
4188,169,3114,876,547,272,976,3532,2793,3095,2314.837916,1
2222,0,1716,376,248,145,540,1700,1450,1843,1757.481058,1
2219,111,2012,360,337,95,497,2860,2536,3061,1490.349151,1
3311,48,3138,577,444,214,867,3689,3230,3936,3004.003199,1
2725,173,2296,558,468,128,703,2783,2379,3020,1872.482592,1
499,0,322,101,32,12,145,225,96,78,167.49401,1
3113,0,2076,671,243,171,737,2784,2257,2599,1696.849687,1
1122,0,935,427,73,13,344,631,318,323,487.930827,1
4481,108,2888,921,415,351,1067,2207,1159,1269,1708.245553,1
1715,3490,2959,139,290,35,407,2227,1661,1649,634.162266,1
3469,81,2731,869,481,267,989,2274,1912,3140,2289.736919,1
6107,233,4433,1015,1004,608,1429,4383,3769,5259,3575.892846,1
2954,0,1951,588,255,253,688,1890,1190,1301,1980.331749,1
823,0,680,249,71,14,248,283,93,86,522.28019,1
398,0,317,203,26,0,131,179,120,191,167.755137,1
10492,35,6768,3533,505,16,1947,13641,10005,12338,8188.822038,1
7067,62,2959,644,502,234,1205,4040,2297,2861,3275.884666,1
188,0,94,9,15,17,51,55,19,7,206.796873,0
5710,311,2282,347,466,207,859,3359,2082,2252,2884.344338,1
11683,507,9558,1863,1700,654,2751,10283,8838,12105,11227.77956,1
909,5,486,108,68,54,186,493,313,387,323.368826,0
750,0,553,207,52,12,230,269,125,123,280.589751,1
18942,716,17314,2725,3555,1611,4453,17947,16432,22142,18665.32956,1
11101,758,5549,858,889,309,1821,7711,5391,6657,4246.312622,1
3907,430,2658,660,503,299,974,2196,1400,1456,2390.511317,1
3277,62,2595,857,337,112,945,1925,1130,1167,2136.777069,0
6563,295,4764,1110,885,513,1457,4653,3314,3487,3571.864056,1
686,0,283,103,35,17,127,458,323,403,338.233767,1
3087,248,2241,556,480,280,854,1886,1401,1610,1872.421909,1
5493,173,4735,800,944,729,1293,1954,714,582,5131.304799,1
2129,321,1808,215,599,440,447,768,324,242,1530.168626,0
10858,0,9401,3287,921,231,2722,10519,8082,9311,5483.072238,1
5178,38,6238,2225,989,20,1520,8321,7869,12326,5659.159223,1
1399,150,1161,255,167,97,343,781,311,329,1127.64582,1
1085,0,538,277,44,0,208,962,477,503,936.081864,0
3547,379,2166,861,519,351,937,2251,849,888,1980.084067,1
422,0,299,104,23,0,110,205,77,59,118.130769,1
2024,6,1732,470,183,12,548,1915,1483,1581,1099.270812,1
1683,0,1362,492,146,13,380,1540,1236,1572,1467.802004,0
7019,32,4812,954,733,435,1483,3324,1486,1450,5126.559289,1
736,0,524,112,76,61,193,565,354,394,590.520717,1
2084,0,1167,252,188,68,391,1563,1152,1392,1436.771295,1
553,0,436,158,37,0,166,249,90,69,326.306948,0
104,0,69,29,0,0,40,51,19,18,25.087878,0
2473,0,1747,830,225,26,544,1657,881,1026,2285.621277,1
558,8,364,109,42,38,173,203,50,31,206.143673,0
3671,98,2782,957,447,225,905,1477,369,258,2135.271226,1
634,63,457,51,120,73,204,203,88,65,247.20329,0
815,0,465,100,67,25,179,540,393,494,391.494974,1
4528,269,2345,375,508,166,770,3119,2002,2136,2242.268831,1
6509,205,4858,2154,766,52,1595,5346,4420,6713,4832.76135,1
23,273,8,0,0,0,0,17,14,11,5.605731,0
10131,738,3752,497,470,377,1413,6476,4023,4037,3879.305873,1
5998,1903,2509,112,70,16,502,6068,4737,4383,1017.690807,1
991,5,624,112,113,65,234,624,431,533,485.436494,1
3845,103,4695,893,629,108,942,6847,6452,8266,3017.227724,1
6669,128,8577,1236,1254,432,1600,12880,12284,14762,6610.778972,1
12263,436,14481,2176,2621,557,3156,19910,18931,23682,12536.6297,1
317,0,234,77,16,0,70,116,54,41,241.726765,1
938,72,843,221,156,79,318,398,225,305,614.62578,0
5767,292,2731,737,377,244,1126,4051,2557,3006,2308.268569,1
9829,870,3231,429,490,263,1128,5948,3059,2976,4176.784316,1
1535,24,392,114,52,58,245,785,367,371,669.126405,0
336,0,238,84,31,13,120,191,138,172,162.911094,1
2823,14,2136,775,272,204,851,1294,934,1329,1392.755902,1
3182,150,3222,478,586,209,758,4121,3733,4611,2869.598936,1
5721,105,6724,1142,1228,212,1513,8636,8024,10742,5394.253384,1
4743,110,3248,1201,382,327,1407,2890,1859,1951,1995.927098,0
3302,246,2728,914,502,23,790,4043,3659,4525,2421.268583,1
6984,0,4666,2159,462,49,1403,8488,6556,8169,5841.112543,1
3482,0,2912,1277,323,46,814,4023,3659,5577,2711.707532,1
4985,7,5065,1381,573,102,1578,5029,4525,6675,4055.477658,0
791,0,561,186,52,42,177,326,117,91,438.962304,1
4753,347,4069,873,868,261,1376,4721,4068,5387,3604.195912,1
5477,365,5000,1229,754,163,1571,6037,4795,6447,3757.6245,0
1514,22,1082,365,114,34,386,663,250,206,793.019709,1
374,0,281,117,14,9,118,167,68,38,102.846941,1
7030,60,8530,1236,1674,321,2022,10300,9906,14001,8569.580242,0
7508,179,4858,1037,943,381,1614,5409,4323,5967,5583.39975,1
5966,114,2662,608,335,523,1230,3665,2481,2238,1168.922426,0
1132,0,945,225,141,82,272,425,222,225,762.811697,1
815,38,460,45,31,21,122,757,626,635,343.887431,1
2666,790,1823,773,152,0,529,4016,3186,3946,2458.858635,1
2664,155,2003,331,350,110,622,2103,1792,2192,2110.639616,0
1083,7,836,291,95,18,305,466,127,88,558.936177,1
1148,239,930,225,204,33,297,600,256,226,820.388722,0
2487,0,1861,563,174,37,713,1099,446,334,1162.79056,1
3942,133,3683,803,484,179,1181,4197,3344,3869,1895.600944,1
3684,93,2868,902,383,205,979,2768,2005,2183,1645.243438,0
2441,6,1996,528,239,124,680,1706,1350,1638,1596.794597,1
763,0,585,217,54,44,170,267,108,126,488.049236,1
5921,280,5778,1206,854,492,1626,6631,5310,5723,3531.845399,0
4904,545,4140,963,651,226,1314,4395,3375,3707,2788.010039,0
66,0,58,22,0,0,20,38,12,11,51.840832,0
1688,0,1336,573,113,16,529,990,539,568,754.138343,1
1458,6,1200,585,92,13,419,728,376,388,1059.233964,0
653,0,440,238,32,0,174,964,741,944,326.818489,1
1354,10,1164,307,149,28,388,816,643,828,967.49343,0
2099,9,1497,348,283,169,499,896,650,746,1291.354961,1
477,66,429,154,85,6,154,215,83,65,265.259595,1
13936,699,11752,2904,2018,555,3394,10233,7334,8345,9532.595207,1
4150,66,3162,581,503,233,849,4062,3457,4282,2897.72751,1
1611,410,832,82,31,12,162,1410,1124,1122,510.912691,1
2053,87,1739,317,288,52,562,1330,1093,1448,1536.490405,0
6670,252,6118,1368,839,316,1873,7999,6645,7607,3016.266546,0
1080,126,644,223,55,7,189,1535,1238,1541,865.674088,1
684,59,500,141,127,50,135,423,225,243,324.201433,1
5085,262,3250,1189,494,381,1356,2724,1420,1857,2767.51546,1
3472,302,1477,180,303,153,495,2211,1439,1607,1790.262749,1
799,0,678,277,58,0,241,356,137,113,236.477559,1
5913,57,4051,1719,617,43,1280,4260,2750,3060,4633.531073,1
1345,250,986,346,97,41,327,713,476,527,961.795411,1
190,0,172,62,15,0,62,90,61,90,113.283214,1
5585,98,3399,928,643,305,1218,3728,2550,3408,4045.816996,1
